label		fitness		size		width		height		num_rigid		num_soft		num_h		num_v		elongation		eccentricity		reward
0		2.683917		15		5		5		4		2		6		3		2.220446049250313e-16		0.75		0.13446175,-0.18473387500000002,-0.2125672,-0.11221049999999999,0.40553990000000006,0.8652075,1.2683837999999998,1.4484132,1.691808,1.9103807000000004,2.2822945,2.307808,2.3283783999999996,2.3221594,2.3304020999999997,2.325227,2.3330261000000005,2.3532683,2.3620498999999997,2.3680716,2.3739759,2.358589,2.3588177,2.3616802,2.379082,2.3987448000000002,2.409936,2.3921365999999997,2.4167612000000007,2.4381261000000003,2.4085179,2.3646555000000005,2.3817182000000003,2.3785594,2.3950565999999998,2.3890010999999998,2.3753311,2.4073242,2.4554226,2.4848619,2.4611075,2.4383968,2.4633656,2.487642,2.4921029,2.4811875999999997,2.4639677000000004,2.4428441000000003,2.4101572,2.5278646,2.5060519999999995,2.5219260999999995,2.4689886999999997,2.4563337,2.4387556,2.4127326,2.4680220000000004,2.4600867,2.4345858,2.4604007,2.4446319,2.4250436,2.4262736,2.4852239000000003,2.5339415,2.5154394000000004,2.5385714,2.5402879,2.5502447999999998,2.5651144,2.5831676,2.5796456,2.6088137,2.6134561,2.5662110999999994,2.6578958,2.6734508,2.6041081,2.6331169,2.623611,2.6574746,2.670318,2.6718106999999995,2.6682411999999998,2.650378,2.6022106000000003,2.6166843,2.6435873,2.6257552,2.6379424,2.6386587,2.669019,2.6744608,2.6735057000000007,2.6736947,2.6748973000000005,2.6583892000000002,2.6202342,2.6233750000000002,2.6115039
1		2.678787		16		5		5		3		3		7		3		2.220446049250313e-16		0.8		0.05272275000000001,0.04148012500000001,0.0892429,0.3557622,0.3171462,0.4522018000000001,0.8671696000000001,1.0317770000000002,1.2097658,1.3824381000000001,1.8675747999999999,2.1042467,2.2663269,2.3805121,2.3739341000000005,2.3646939,2.3728157,2.4094786,2.3993188,2.4236649999999997,2.4837456,2.4601141,2.4385315,2.4167526,2.4426357999999997,2.4596522,2.4722595,2.5037504999999998,2.4517865999999997,2.4590347,2.4914625,2.5042969999999998,2.5079998999999997,2.5097514999999997,2.5022936000000002,2.5151640000000004,2.5185828999999997,2.5054511999999995,2.5049978000000004,2.5029764,2.5258098999999996,2.523641,2.4956958,2.4938131999999995,2.4730631,2.500613,2.5238579999999997,2.5405678,2.5422005,2.5691161999999994,2.570373,2.5997994,2.6289626999999998,2.6574341,2.662585,2.6638553999999997,2.6323882000000003,2.6233257,2.6259773,2.6424622999999996,2.6631672,2.6678729000000003,2.6447769,2.6691243,2.6577133999999996,2.6600703,2.6628019,2.6418479999999995,2.6694655999999997,2.6697563,2.6740223,2.6464609999999995,2.620625,2.6515258999999998,2.6876539,2.6886859000000003,2.6768114,2.6576823,2.6736855000000004,2.6721398,2.6705447,2.6676757,2.6709732,2.6809138999999997,2.6810931000000005,2.6750227,2.6779158,2.6843912999999997,2.6853700000000003,2.6821139,2.6771820999999996,2.6845495999999995,2.6915261999999998,2.6849562,2.6832488999999997,2.6884471,2.6888419,2.6810114,2.6832994,2.6801844000000004
20		2.65557		17		5		5		4		7		3		3		0.21244472379441626		0.8095238095238095		0.12045750000000001,0.356704375,0.643291,1.2961958,1.5253666999999997,1.773354,2.2344156999999996,2.3770214,2.4362508,2.4353802,2.4540659,2.4629155999999996,2.4668836,2.4738488999999997,2.4712343,2.4816133000000002,2.4744293999999996,2.4740599,2.4747236,2.4857601,2.5073099,2.4952136,2.492998,2.5029783,2.509037,2.5118318000000004,2.4998898,2.5011141,2.5068931,2.527316,2.5476427,2.5223997000000002,2.5368644000000002,2.5369297000000004,2.5452587,2.5660182,2.5996084,2.6000164000000003,2.5715673,2.5807881999999998,2.6031031000000002,2.5943901000000005,2.5914273000000003,2.5766660000000003,2.566631,2.5610641999999997,2.5518744,2.5631405999999997,2.5831714999999997,2.6228007,2.6254116000000005,2.6192847000000006,2.623834,2.6168605,2.6154602000000002,2.6109062,2.6117030000000003,2.5946100999999997,2.5881738,2.6169829,2.6182194,2.6205173999999998,2.6299506,2.6164894999999997,2.6034489,2.5984987,2.5933542,2.6082099,2.6161599,2.6085997999999995,2.6251484,2.6282097,2.6112393000000003,2.6085895999999997,2.6202265000000002,2.630415,2.6340651,2.6288825,2.6197193,2.6175360999999997,2.6214977999999998,2.6279245,2.6206913,2.6094936,2.6090539,2.6131593000000004,2.6177162,2.5991853,2.6240599000000002,2.6351361,2.6258848,2.6276509,2.6329496,2.6339784,2.6333062000000003,2.6302010000000005,2.6277847999999997,2.6179242,2.6170414,2.6264178
2		2.646304		18		5		5		5		7		3		3		0.21244472379441626		0.8571428571428571		-0.41695750000000004,-0.38816700000000004,-0.3710067,-0.4867313999999999,-0.25723850000000004,-0.021438499999999992,0.3026045,0.407822,0.48077050000000005,0.5104357,0.6284697,0.7565432999999999,0.9709632000000001,2.1770827,2.4330235,2.5450326,2.5962567000000005,2.5729290000000002,2.5878381999999998,2.5942419,2.6024882,2.5954079,2.5968896,2.6026147,2.6253241000000003,2.6272461,2.6144121999999994,2.6060907,2.6181319,2.6183177,2.6018891999999996,2.6014619,2.5902898000000003,2.5705733000000004,2.5793174,2.5914648,2.6154845,2.5851851,2.6002421,2.6269904,2.6210917,2.6267953000000004,2.6234219,2.6322093000000004,2.6318542000000003,2.6281279,2.626442,2.6303699,2.6279408,2.6277277999999997,2.6312307,2.6331078000000003,2.6294666999999996,2.6280358,2.6274629000000003,2.6346636,2.6110858,2.6116866000000005,2.6362739999999993,2.6302194,2.6255373,2.630356,2.6324775,2.6298668000000003,2.6255867000000004,2.6222763000000002,2.6286636000000003,2.6391969,2.6358259,2.6349217000000005,2.6380799,2.6381911000000002,2.6348522,2.6330115000000003,2.6366489,2.6362172999999993,2.6350412,2.6340774,2.6328116,2.6314845,2.6345723,2.6398552,2.6392269,2.6395064,2.6415803,2.6397914,2.6388368,2.6391885999999998,2.6399425,2.6358183999999993,2.6356572999999996,2.6399976,2.6407861,2.642556,2.6427157,2.6404065,2.6393988999999998,2.6391376,2.6400923999999995,2.6446560000000003
3		2.612607		14		5		5		4		4		4		2		0.11884651994950868		0.875		0.79860725,1.0603925,1.4545612,2.2450812,2.3798431,2.3836633,2.3936871,2.3993437999999996,2.3916120000000003,2.3879683,2.3883767,2.3902681,2.3932995999999997,2.4152254999999996,2.4201642,2.4170878,2.4167014,2.4137627999999998,2.4090873,2.4118934000000003,2.4214125,2.4244297,2.4221192,2.4182188,2.4213291999999997,2.4289034999999997,2.4272384,2.429163,2.4280511000000002,2.4286268000000004,2.4287553,2.4304994,2.4229840000000005,2.4325076,2.4340669,2.4352092,2.4329851,2.4228644,2.4317904999999995,2.4390935000000002,2.4371701000000003,2.4352689,2.4364981,2.4366286999999995,2.4341365999999995,2.4399147,2.4413872000000003,2.443836,2.444354,2.4419991000000003,2.4583804000000002,2.4604014,2.4467556000000004,2.4368493,2.4339011999999998,2.4438547999999995,2.4473351,2.4444591000000004,2.4493153,2.4505033000000003,2.447457,2.4527183,2.4719291,2.4709440000000003,2.4570159,2.456326,2.4530349,2.4589378999999996,2.4540926,2.4533341999999996,2.4540444999999997,2.4533685000000003,2.4507245,2.4737716,2.4585577,2.4620899000000005,2.4572174,2.4551807000000005,2.4679849000000003,2.4826780999999998,2.4915089999999998,2.4597667,2.4737029999999995,2.4778711,2.4673396,2.4602078999999994,2.4646147,2.4757423000000003,2.4726083,2.4875418000000002,2.4943043000000005,2.4854613,2.5189305,2.5187315000000003,2.4912090000000005,2.4797422,2.4807988,2.4819143000000006,2.4825539,2.5126627000000004
16		2.6001		15		4		5		3		2		7		3		0.19999999999999996		0.7894736842105263		1.01453675,1.167553,1.3576985000000001,2.0151518,2.2355387999999996,2.2725557,2.3061552,2.3066825,2.3259765999999997,2.3240192,2.3103147,2.3190993,2.3029874,2.3321641,2.3403848,2.3332372,2.3286834,2.3353933000000002,2.3501777,2.3496414999999997,2.3552198,2.3545747,2.3468237000000003,2.3441332000000004,2.3406965,2.3527123,2.3442248000000006,2.3668926000000003,2.4008499999999997,2.4106751999999996,2.4252835,2.4331405999999998,2.4486672,2.4412376,2.4639205,2.4631806,2.4603987999999997,2.4784781,2.5203913,2.5136281,2.4908433999999997,2.5000276999999995,2.5408096000000002,2.5246728000000003,2.5309814,2.5513141,2.5445888,2.5391547,2.5126900999999995,2.549786,2.5480918,2.5375545,2.5197689999999997,2.5504377,2.5555333999999994,2.5428981999999998,2.554879,2.5544476,2.5484421,2.5362691,2.2299664999999997,2.2457555000000005,2.5742925,2.5748832,2.5714934,2.5705004,2.5708067000000003,2.5759117,2.5796551,2.5686966,2.5772356000000003,2.5772664,2.5795865000000004,2.5817053999999997,2.5715989,2.5597774000000006,2.5583959999999997,2.564319,2.5739863,2.5825865000000006,2.5893723,2.5860895999999998,2.5774361999999997,2.578122,2.581763,2.5858084000000003,2.5817061999999997,2.5776227,2.5808941,2.5860164,2.5886517999999996,2.5879854,2.5864411,2.5885195,2.587654,2.5899647000000003,2.5901994000000004,2.5733212,2.5741974,2.5911269
4		2.599825		17		5		5		4		3		6		4		0.10622236189720824		0.8095238095238095		0.74681525,0.736480875,0.9735965,1.8665382000000001,2.1591384000000007,2.2837752,2.351822,2.3558909999999997,2.364936,2.3627557,2.3600982000000004,2.3669006,2.3956540000000004,2.3756766,2.3683681000000005,2.3841926,2.3795389,2.4324804999999996,2.4474162999999995,2.4773780000000003,2.4904291000000005,2.4916225000000005,2.4905611,2.4930183999999995,2.5012312999999997,2.4975015,2.4992096999999998,2.4977767999999996,2.4979704000000003,2.4947469,2.4924708000000004,2.4978073,2.4929788000000004,2.4948099,2.4926759000000005,2.5049461,2.5070313000000004,2.4972694999999994,2.4970740000000005,2.5076408999999997,2.5076787,2.5115261,2.5140839999999995,2.5135537999999995,2.5097712999999997,2.5201168000000003,2.5187085,2.5192266000000005,2.5185627,2.5171506999999997,2.5195137,2.5211322,2.5233364,2.5347253000000003,2.5225986000000002,2.5202827,2.5266147,2.5319213,2.5342658000000005,2.5349968,2.5309158,2.5354631000000003,2.5360422,2.5403557999999995,2.5426737,2.5398777,2.5410605000000004,2.5389555000000006,2.536124,2.5390665,2.549235,2.5501405,2.5519359,2.5508767,2.5519439000000004,2.5523869000000006,2.5546453000000002,2.5524203,2.5532372,2.5561913000000005,2.5578144,2.5617996,2.5622496000000003,2.5655461,2.5676105,2.5705470000000004,2.5698315000000003,2.5698647,2.5681857999999997,2.5707402999999998,2.5730977000000004,2.573485,2.5743188,2.5763317999999997,2.5787394,2.5789836,2.5832695000000006,2.5844885,2.5858159,2.5827918
5		2.566513		16		5		5		5		5		3		3		0.11884651994950868		0.8888888888888888		-0.75759475,-0.618275625,-0.36050969999999993,0.8290710000000001,1.2238000999999998,1.7140792,2.3569883,2.4840894,2.4982010000000003,2.5000609000000003,2.5129403,2.5171341999999997,2.5145203,2.5265542,2.5200152,2.5182721999999997,2.5137008,2.5257095,2.5371727999999996,2.5265529,2.5313179000000003,2.5351993,2.5292423,2.529799,2.5368313,2.5320861999999997,2.5358912,2.5409489,2.5428890999999996,2.5476723999999997,2.5469417,2.5440272,2.5477828999999996,2.5518051,2.5469138,2.5450577999999995,2.5464588999999997,2.5461024,2.5470342,2.5463459,2.5447464,2.5448581,2.5495355,2.5460217,2.5464889,2.5512379000000003,2.551689,2.5555204,2.5532635,2.5544187000000003,2.5530736000000003,2.5544674000000005,2.5553011999999997,2.5566544999999996,2.5568087999999998,2.5571677,2.5545356,2.5545798,2.5539519000000004,2.5532589,2.5538987000000004,2.5574908,2.5568752000000003,2.5565307,2.5564245,2.5559674,2.5577662,2.5546504000000003,2.5560265,2.5572524999999997,2.5571176,2.5575406000000003,2.5575029000000002,2.5573533,2.5587972,2.5595707000000005,2.560771,2.5592022000000005,2.5598262,2.5589821,2.5586808000000003,2.5575020000000004,2.558671,2.5600112,2.5612468999999995,2.5606475,2.5599754,2.5606497,2.5589602000000005,2.5588631,2.5598249,2.5605543,2.5584481000000006,2.5587664000000006,2.5579810000000003,2.5583033,2.5604538,2.5582833000000003,2.5596778000000002,2.5611532
13		2.559921		16		5		5		5		6		2		3		0.11884651994950868		0.8888888888888888		-0.6446875000000001,-0.440946375,-0.385695,0.09060369999999998,0.721009,1.3045842000000003,2.3335887000000004,2.5259077,2.5409531999999997,2.5422880999999995,2.5383229,2.5362463,2.5382344000000003,2.5472350000000006,2.5461942,2.5383950000000004,2.5436056000000002,2.5490109000000003,2.5556152000000005,2.555848,2.5523476,2.5530907999999997,2.5552576000000005,2.5501393,2.5447516,2.5485074,2.5473471,2.5478403,2.5469391999999997,2.5524602,2.5524388999999994,2.5461580000000006,2.5445824,2.5483710000000004,2.5452034999999995,2.5519161,2.5542587,2.5524703,2.5503045,2.5491322999999997,2.5509822,2.5526886999999996,2.5526307000000004,2.5525036,2.5516459,2.5500987000000004,2.5520689,2.5496921,2.5482677,2.5472970000000004,2.5464037,2.5476773999999995,2.5461747,2.554324,2.5546908,2.5549393999999994,2.5513578,2.5509394999999997,2.553766,2.5539645,2.5519143,2.5533672,2.5543336,2.5521186,2.5530679,2.5549330000000006,2.5554525000000003,2.5561480999999997,2.5552380999999995,2.5546792,2.5538488,2.5538731,2.5541199000000003,2.5551296,2.5548631000000004,2.5548346000000004,2.5561561999999998,2.5559252,2.5560357,2.5566739000000003,2.5559061,2.5548300999999998,2.5555847,2.5573106,2.5551410000000003,2.5552877,2.5568328,2.5563684,2.5552601000000004,2.551467,2.5510253,2.5525402,2.5565084999999996,2.5572164,2.5577655,2.555638,2.5544477,2.5562286999999997,2.5560029,2.5564032
6		2.551288		17		5		5		3		7		4		3		0.21244472379441626		0.8095238095238095		-0.334638,-0.278524125,-0.21381350000000002,-0.08052820000000001,-0.041997200000000005,-0.024803500000000003,-0.008269299999999999,0.004926600000000001,0.015691100000000003,0.0226518,0.0455261,0.0352491,0.025824999999999997,0.10386329999999999,0.1787593,0.2695888,0.36331009999999997,0.5530080999999999,0.6494784,0.7756204,1.0277868,1.2169770999999998,1.4189382999999998,1.6491509,2.1449233,2.3535817999999997,2.4326262,2.4799125999999996,2.4942242000000006,2.4936952000000003,2.4853495,2.483508,2.48667,2.4839577,2.4944265999999997,2.4787328000000004,2.4768008000000004,2.4821044,2.4839677,2.4820651000000002,2.4826431,2.4830475,2.4804823,2.4815264,2.4852622,2.4802500000000003,2.4751220999999997,2.4793947,2.4831983,2.4835822,2.4822787,2.4829418,2.4874550999999996,2.4840077000000003,2.4808316,2.480872,2.4879914999999997,2.490677,2.4882754,2.4840632,2.4844644999999996,2.4896822,2.4920979,2.4849677,2.4877332,2.4698366999999997,2.4714310999999998,2.4990890000000006,2.4798126999999996,2.4685533,2.481671,2.4855049,2.491716,2.4963380000000006,2.4886747,2.4848516,2.4780983,2.4776413,2.4808338,2.4869612,2.5002727,2.5052668,2.503941,2.4924565999999997,2.5020753,2.523548,2.5291110999999997,2.5428707,2.5201561,2.50269,2.5240192,2.5433266999999997,2.5373956,2.5309014999999997,2.5324761000000002,2.5375805,2.5230682,2.5156167000000003,2.514179,2.5088513000000003
